run,trace,n_tokens,mean_kl,median_kl,q90_kl,q95_kl,q99_kl,max_kl,above_005,above_005_rate,above_2,above_2_rate
Clipped,trace_0000_24699_gen0,1024,0.11045262780459744,3.6176021239953116e-05,0.22748888581991222,0.38681507855653746,1.0424909234046928,21.771934509277344,218,0.212890625,4,0.00390625
No-clip,trace_0000_24699_gen0,1024,0.09423120063618452,0.002414152375422418,0.18755881488323212,0.30752994269132594,1.060368211269378,19.873973846435547,244,0.23828125,4,0.00390625
No-think + no-clip,trace_0000_24699_gen0,761,0.04175138767370788,8.830222941469401e-05,0.11859765648841858,0.26678624749183655,0.6296981573104858,1.0564073324203491,118,0.15505913272010513,0,0.0
Clipped,trace_0001_5692_gen1,1024,0.10551432642219966,0.0254882350564003,0.2081335246562958,0.2833387270569801,0.7799007219076154,17.40159797668457,453,0.4423828125,5,0.0048828125
No-clip,trace_0001_5692_gen1,1024,0.08295638761099283,8.124359010253102e-05,0.11990163326263446,0.23710278868675222,1.0066190809011444,20.392377853393555,190,0.185546875,8,0.0078125
No-think + no-clip,trace_0001_5692_gen1,1024,0.05479896386534196,0.0016218979144468904,0.10646180808544166,0.23164105042815172,0.9561027818918216,3.9631528854370117,191,0.1865234375,3,0.0029296875
Clipped,trace_0002_21522_gen2,1024,0.7316274096773386,0.12352568283677101,1.856868457794191,3.222403442859648,5.495315146446225,25.34990119934082,629,0.6142578125,98,0.095703125
No-clip,trace_0002_21522_gen2,991,0.08653507578052133,0.0002994122914969921,0.12962807714939117,0.3282952457666397,1.1635954618453985,20.247150421142578,184,0.1856710393541877,5,0.005045408678102927
No-think + no-clip,trace_0002_21522_gen2,497,0.0493671686915323,9.252141899196431e-05,0.07522744834423074,0.20522236526012408,0.6608244180679339,4.494420528411865,65,0.13078470824949698,2,0.004024144869215292
Clipped,trace_0003_18564_gen3,1024,0.19622691637842565,0.09500123932957649,0.32744574844837193,0.48245600610971423,1.3785404849052398,21.476552963256836,644,0.62890625,7,0.0068359375
No-clip,trace_0003_18564_gen3,1024,0.10010708253523924,0.006717267446219921,0.14943591803312303,0.2741729512810704,1.2986448502540586,19.24697494506836,251,0.2451171875,7,0.0068359375
No-think + no-clip,trace_0003_18564_gen3,1024,0.07371012958313043,0.0023652841337025166,0.13879461735486995,0.2900402650237081,1.5295057988166791,4.301326751708984,197,0.1923828125,7,0.0068359375
Clipped,trace_0004_17541_gen4,1023,0.13751213164321693,0.008701112121343613,0.3010865151882174,0.4353490471839905,1.0670915412902817,22.58165168762207,410,0.40078201368523947,4,0.0039100684261974585
No-clip,trace_0004_17541_gen4,1024,0.1386444061665307,0.0006835486274212599,0.18996301293373127,0.3685938060283661,1.637556860446928,22.646305084228516,243,0.2373046875,9,0.0087890625
No-think + no-clip,trace_0004_17541_gen4,697,0.0257110315695402,9.690480510471389e-06,0.039523497968912115,0.08217633813619596,0.4629124474525429,4.200151443481445,56,0.08034433285509325,1,0.0014347202295552368
Clipped,trace_0005_28132_gen5,1024,0.15732477474202744,0.00799349183216691,0.3631826013326647,0.5397197455167747,1.395710896253585,21.311323165893555,368,0.359375,5,0.0048828125
No-clip,trace_0005_28132_gen5,1024,0.09162174008540597,3.9783019019523636e-05,0.16329627782106404,0.3466397866606706,1.1795895135402679,21.551498413085938,206,0.201171875,6,0.005859375
No-think + no-clip,trace_0005_28132_gen5,944,0.10620526047209863,0.0008939031104091555,0.20828371644020097,0.4985057428479192,1.8362581658363342,10.749175071716309,201,0.2129237288135593,7,0.007415254237288136
Clipped,trace_0006_22807_gen6,1024,0.13541593242274652,0.06420223042368889,0.26702011823654187,0.39851620197295956,0.9599185454845428,18.516069412231445,572,0.55859375,1,0.0009765625
No-clip,trace_0006_22807_gen6,1024,0.09003734773490882,0.01199725829064846,0.1728822126984597,0.3010901749134063,0.784369416236877,20.866086959838867,299,0.2919921875,3,0.0029296875
No-think + no-clip,trace_0006_22807_gen6,786,0.05382488629586827,0.0018263065139763057,0.12038465961813927,0.19849414005875587,0.9402118802070578,1.961728811264038,150,0.19083969465648856,0,0.0
Clipped,trace_0007_25496_gen7,1024,0.44163830395175785,0.026720859110355377,1.2157269835472113,2.0121041536331177,4.803828272819519,20.349618911743164,481,0.4697265625,54,0.052734375
No-clip,trace_0007_25496_gen7,393,0.1067804458361019,0.0007280621794052422,0.2132611334323883,0.36686037778854347,1.055311522483824,18.277833938598633,82,0.20865139949109415,1,0.002544529262086514
No-think + no-clip,trace_0007_25496_gen7,485,0.052976131975163564,0.0005809800932183862,0.08112891018390657,0.22829366624355274,0.8440544891357408,3.730738878250122,66,0.1360824742268041,2,0.004123711340206186
